CPT Code,Description
81274,Huntington (HTT) gene analysis for characterization of alleles
81275,v-Ki-ras2 Kirsten rat sarcoma viral oncogene (KRAS) gene analysis for detection of variant in codons 12 and 13
81276,Kirsten rat sarcoma viral oncogene (KRAS) gene analysis for additional variants
81277,Cytogenomic neoplasia (genome-wide) microarray analysis wih interrogation of genomic regions for copy number and loss-of-heterozygosity variants for chromosomal abnormalities
81278,IGH@/BCL2 (t(14;18)) qualitative gene analysis for detection of translocation of major breakpoint region and minor cluster breakpoints
81279,Janus kinase 2 (JAK2) targeted sequence gene analysis
81283,"Interferon, lambda 3 (IFNL3) gene analysis for detection of rs12979860 variant"
81284,Frataxin (FXN) gene analysis for detection of abnormal alleles
81285,Frataxin (FXN) gene analysis for characterization of alleles
81286,Frataxin (FXN) full sequence gene analysis
81287,O-6-methylguanine-DNA methyltransferase (MGMT) promoter methylation analysis
81288,"MLH1 (mutL homolog 1, colon cancer, nonpolyposis type 2) gene analysis for detection of methylated variant"
81289,Frataxin (FXN) gene analysis for detection of known familial variant
81290,"Mucolipidosis, type IV (MCOLN1) gene analysis for detection of common variant"
81291,"5,10-methylenetetrahydrofolate reductase (MTHFR) gene analysis for detection of common variant"
81292,"MutL homolog 1, colon cancer, nonpolyposis type 2 (MLH1) full gene sequence analysis"
81293,"MutL homolog 1, colon cancer, nonpolyposis type 2 (MLH1) gene analysis for detection of known familial variant"
81294,"MutL homolog 1, colon cancer, nonpolyposis type 2) (MLH1) gene analysis for detection of deletion and duplication variants"
81295,"MutS homolog 2, colon cancer, nonpolyposis type 1 (MSH2) full sequence gene analysis"
81296,"MutS homolog 2, colon cancer, nonpolyposis type 1 (MSH2) gene analysis for detection of known familial variant"
81297,"MutS homolog 2, colon cancer, nonpolyposis type 1 (MSH2) gene analysis for detection of deletion variant"
81298,MutS homolog 6 (E. coli) (MSH6) full gene sequence analysis
81299,MutS homolog 6 (E. coli) (MSH6) gene analysis for detection of known familial variant
81300,MutS homolog 6 (E. coli) (MSH6) gene analysis for detection of deletion variant
81301,Microsatellite instability analysis of markers for mismatch repair deficiency
81302,Methyl CpG binding protein 2 (MECP2) full gene sequence analysis
81303,Methyl CpG binding protein 2 (MECP2) gene analysis for detection of known familial variant
81304,Methyl CpG binding protein 2 (MECP2) gene analysis for detection of deletion variant
81305,Myeloid differentiation primary response 88 (MYD88) gene analysis for detection of p.Leu265Pro (L265P) variant
81306,Nudix hydrolase 15 (NUDT15) gene analysis for detection of common variants
81307,Partner and localizer of BRCA2 (PALB2 ) full gene sequence analysis
81308,Partner and localizer of BRCA2 (PALB2 ) gene analysis for detection of known familial variant
81309,"Phosphatidylinositol-4, 5-biphosphate 3-kinase, catalytic subunit alpha (PIK3CA) gene analysis of targeted sequence"
81310,Nucleophosmin (NPM1) gene analysis for detection of exon 12 variant
81311,Neuroblastoma RAS viral [v-ras] (NRAS) viral oncogene gene analysis for variants in exon 2 and 3)
81312,Poly[A] binding protein nuclear 1 (PABPN1) gene analysis for detection of abnormal alleles
81313,Measurement of PCA3/KLK3 (prostate cancer antigen 3 and kallikrein-related peptidase 3) ratio
81314,"Platelet-derived growth factor receptor, alpha polypeptide (PDGFRA) gene analysis, targeted sequence analysis"
81315,Qualitative promyelocytic leukemia/retinoic acid receptor alpha (PML/RARalpha) translocation analysis for detection of common breakpoint
81316,Qualitative promyelocytic leukemia/retinoic acid receptor alpha (PML/RARalpha) translocation analysis for detection of single breakpoint
81317,Postmeiotic segregation increased 2 (S. cerevisiae) (PMS2) full gene sequence analysis
81318,Postmeiotic segregation increased 2 gene analysis for detection of known familial variant
81319,Postmeiotic segregation increased 2 (PMS2) gene analysis for detection of deletion variant
81320,Phospholipase C gamma 2 (PLCG2) gene analysis for detection of common variants
81321,Phosphatase and tensin homolog (PTEN) full gene sequence analysis
81322,Phosphatase and tensin homolog (PTEN) gene analysis for known familial variant
81323,Phosphatase and tensin homolog (PTEN) gene analysis for deletion and duplication variants
81324,Peripheral myelin protein 22 (PMP22) gene analysis for deletion and duplication variants
81325,Peripheral myelin protein 22 (PMP22) full gene sequence analysis
81326,Peripheral myelin protein 22 (PMP22) gene analysis for known familial variant
81327,SEPT9 (Septin9) promoter methylation analysis
81328,"Solute carrier organic anion transporter family, member 1B1 (SLCO1B1) gene analysis for detection of *5 variant"
81329,"Survival of motor neuron 1, telomeric (SMN1) dosage/deletion analysis"
81330,"Sphingomyelin phosphodiesterase 1, acid lysosomal (SMPD1) gene analysis for detection of common variant"
81331,Small nuclear ribonucleoprotein polypeptide N and ubiquitin protein ligase E3A (SNRPN/UBE3A gene analysis for detection of methylated variant
81332,"Serpin peptidase inhibitor, clade A, alpha-1 antiproteinase, antitrypsin, member 1 (SERPINA1) gene analysis for detection of common variant"
81333,Transforming growth factor beta-induced (TGFBI) gene analysis for detection of common variants
81334,Runt related transcription factor 1 (RUNX1) gene analysis of exons 3-8
81335,Thiopurine S-methyltransferase (TPMT) gene analysis for detection of *2 and *3 variants
81336,"Survival of motor neuron 1, telomeric (SMN1) full sequence gene analysis"
81337,"Survival of motor neuron 1, telomeric (SMN1) gene analysis for detection of known familial sequence variant"
81338,"MPL proto-oncogene, thrombopoietin receptor (MLP) gene analysis for detection of common variants"
81339,"MPL proto-oncogene, thrombopoietin receptor (MLP) sequence gene analysis of exon 10"
81340,"Beta T cell antigen receptor (TRB@) gene rearrangement analysis for detection of abnormal clonal population, using amplification method"
81341,"Beta T cell antigen receptor (TRB@) gene rearrangement analysis for detection of abnormal clonal population, using direct probe method"
81342,Gamma T cell antigen receptor (TRG@) gene rearrangement analysis for detection of abnormal clonal population
81343,Protein phosphatase 2 regulatory subunit Bbeta (PPP2R2B) gene analysis for detection of abnormal alleles
81344,TATA box binding protein (TBP) gene analysis for detection of abnormal alleles
81345,Telomerase reverse transcriptase (TERT) gene analysis of promoter region
81346,Thymidylate synthetase (TYMS) gene analysis for detection of common variant
81347,Splicing factor [3b] subunit B1) (SF3B1) gene analysis for detection of common variants
81348,Serine and arginine-rich splicing factor 2 (SRSF2) gene analysis for detection of common variants
81349,Cytog alys chrml abnr lw-ps
81350,"UDP glucuronosyltransferase 1 family, polypeptide A1 (UGT1A1) gene analysis for detection of *28 variant"
81351,Tumor protein 53 (TP53) full sequence gene analysis
81352,Tumor protein 53 (TP53) targeted sequence gene analysis
81353,Tumor protein 53 (TP53) gene analysis for detection of known familial variant
81355,"Vitamin K epoxide reductase complex, subunit 1 (VKORC1) gene analysis for detection of common variant"
81357,U2 small nuclear RNA auxiliary factor 1 (U2AF1) gene analysis for detection of common variants
81360,"Zinc finger CCCH-type, RNA binding motif and serine/arginine-rich 2 (ZRSR2) gene analysis for detection of common variants"
81361,"Hemoglobin, subunit beta (HBB) gene analysis for detection of HbC variant"
81362,"Hemoglobin, subunit beta (HBB) gene analysis for detection of known familial variant"
81363,"Hemoglobin, subunit beta (HBB) gene analysis for detection of deletion and duplication variants"
81364,"HBB (hemoglobin, subunit beta) full gene sequence analysis"
81370,"Low resolution human leukocyte antigen (HLA) Class I and II typing of HLA-A, HLA-B, HLA-C, HLA-DRB1/3/4/5, and HLA-DQB1"
81371,"Low resolution human leukocyte antigen (HLA) Class I and II typing of HLA-A, HLA-B, and HLA-DRB1/3/4/5"
81372,Complete low resolution human leukocyte antigen (HLA) Class I typing
81373,Low resolution human leukocyte antigen (HLA) Class I typing of locus
81374,Low resolution human leukocyte antigen (HLA) Class I typing of antigen equivalent
81375,Low resolution human leukocyte antigen (HLA) Class II typing of HLA-DQB1
81376,Low resolution human leukocyte antigen (HLA) Class II typing of locus
81377,Low resolution human leukocyte antigen (HLA) Class II typing of antigen equivalent
81378,"High resolution human leukocyte antigen (HLA) Class I and II typing of HLA-A, HLA-B, HLA-C,and HLA-DRB1/3/4/5"
81379,Complete high resolution human leukocyte antigen (HLA) Class I typing
81380,High resolution human leukocyte antigen (HLA) Class I typing of locus
81381,High resolution human leukocyte antigen (HLA) Class I typing of allele
81382,High resolution human leukocyte antigen (HLA) Class II typing of locus
81383,High resolution human leukocyte antigen (HLA) Class II typing of allele group
81400,Level 1 molecular pathology procedure
81401,Level 2 molecular pathology procedure
81402,Level 3 molecular pathology procedure
81403,Level 4 molecular pathology procedure
81404,Level 5 molecular pathology procedure
81405,Level 6 molecular pathology procedure
81406,Level 7 molecular pathology procedure
81407,Level 8 molecular pathology procedure
81408,Level 9 molecular pathology procedure
81410,"Aortic dilation gene deletion analysis for detection of FBN1, TGFBR1, TGFBR2, COL3A1, MYH11, ACTA2, SLC2A10, SMAD3, and MYLK variants"
81411,"Aortic dilation gene deletion analysis for detection of TGFBR1, TGFBR2, MYH11, and COL3A1 variants"
81412,Ashkenazi jewish associated disorders genomic sequence analysis panel
81413,"Cardiac ion channelopathies duplication/deletion gene analysis panel with sequencing of 10 or more genes, including ANK2, CASQ2, CAV3, KCNE1, KCNE2, KCNH2, KCNJ2, KCNQ1, RYR2, and SCN5A"
81414,"Cardiac ion channelopathies duplication/deletion gene analysis panel with analysis of at least genes, including KCNH2 and KCNQ1"
81415,Exome sequence analysis
81416,Exome sequence analysis
81417,Exome sequence analysis
81419,"Epilepsy genomic sequence analysis panel, including ALDH7A1, CACNA1A, CDKL5, CHD2, GABRG2, GRIN2A, KCNQ2, MECP2, PCDH19, POLG, PRRT2, SCN1A, SCN1B, SCN2A, SCN8A, SLC2A1, SLC9A6, STXBP1, SYNGAP1, TCF4, TPP1, TSC1, TSC2, and ZEB2"
81420,Fetal chromosomal aneuploid genomic sequence analysis
81422,Fetal chromosomal microdeletion genomic sequence analysis of circulating cell-free fetal DNA in maternal blood
81425,Genome sequence analysis
81426,Genome sequence analysis
81427,Genome sequence analysis
81430,"Hearing loss genomic sequence analysis panel including CDH23, CLRN1, GJB2, GPR98, MTRNR1, MYO7A, MYO15A, PCDH15, OTOF, SLC26A4, TMC1, TMPRSS3, USH1C, USH1G, USH2A, and WFS1 genes"
81431,Hearing loss gene analysis for detection of deletion and duplication variants including STRC and DFNB1 deletions in GJB2 and GJB6 genes
81432,Hereditary breast cancer related disorders genomic sequence analysis
81433,"Breast cancer (BRCA1, BRCA2, MLH1, MSH2, STK11) gene analysis for detection of duplication and deletion variants"
81434,"Retinal disorders (ABCA4, CNGA1, CRB1, EYS, PDE6A, PDE6B, PRPF31, PRPH2, RDH12, RHO, RP1) genomic sequence analysis"
81435,"Hereditary colon cancer syndrome genomic sequence analysis panel including APC, CHEK2, MLH1, MSH2, MSH6, MUTYH, and PMS2 genes"
81436,"Hereditary colon cancer syndrome gene analysis for detection of deletion and duplication variants including APC, MLH1, MSH2, MSH6, PMS2, EPCAM, CHEK2, and MUTYH genes"
81437,"Neuroendocrine tumor disorders (MAX, SDHB, SDHC, SDHD, TMEM127) genomic sequence analysis"
81438,"Neuroendocrine tumor disorders (SDHB, SDHC, SDHD, VHL) gene analysis for detection of duplication and deletion variants"
81439,Hereditary cardiomyopathy genomic sequence analysis
81440,"Mitochondrially encoded genomic sequence panel for detection of BCS1L, C10orf2, COQ2, COX10, DGUOK, MPV17, OPA1, PDSS2, POLG, POLG2, RRM2B, SCO1, SCO2, SLC25A4, SUCLA2, SUCLG1, TAZ, TK2, and TYMP genes"
81442,"Noonan spectrum disorders genomic sequence analysis panel including BRAF, CBL, HRAS, KRAS, MAP2K1, MAP2K2, NRAS, PTPN11, RAF1, RIT1, SHOC2, and SOS1"
81443,Genomic sequence analysis of 15 or more genes for detection of severe inherited conditions
81445,Hematolymphoid neoplasm genomic sequence analysis panel with DNA analysis
81448,Hereditary peripheral neuropathies panel genomic sequence analysis
81450,Hematolymphoid disorder genomic sequence analysis panel with DNA analysis
81455,Hematolymphoid neoplasm genomic sequence analysis panel
81460,Mitochondrially encoded genomic sequence analysis with detection of heteroplasmy
81465,Mitochondrially encoded genomic sequence analysis for detection of deletion and heteroplasmy variants
81470,"X-linked intellectual disability (XLID) genomic sequence analysis panel including ARX, ATRX, CDKL5, FGD1, FMR1, HUWE1, IL1RAPL, KDM5C, L1CAM, MECP2, MED12, MID1, OCRL, RPS6KA3, and SLC16A2 genes"
81471,"X-linked intellectual disability (XLID) gene analysis for detection of deletion and duplication variants including ARX, ATRX, CDKL5, FGD1, FMR1, HUWE1, IL1RAPL, KDM5C, L1CAM, MECP2, MED12, MID1, OCRL, RPS6KA3, and SLC16A2 genes"
81479,Molecular pathology procedure
81490,Analysis of biomarkers using immunoassay for autoimmune arthritis
81493,Coronary artery disease (mRNA) gene expression analysis by real-time PCR of 23 genes
81500,Biochemical assay of two proteins including CA-125 and HE4 utilizing serum for ovarian cancer
81503,"Biochemical assay of five proteins including CA-125, apolipoprotein, beta-2 microglobulin, transferrin and prealbumin utilizing serum for ovarian cancer"
81504,Gene profiling using microarray gene expression
81506,"Biochemical assay of seven analytes including glucose, HbA1c, insulin, hs-CRP, adiponectin, ferritin and interleukin 2 - receptor alpha utilizing plasma"
81507,"Biochemical assay of chromosome 21, 18 and 13 utilizing maternal plasma for fetal aneuploidy"
81508,Biochemical assay of two proteins including PAPP-A and hCG utilizing maternal serum for fetal congenital abnormality
81509,"Biochemical assay of three proteins including PAPP-A, hCG and DIA utilizing maternal serum for fetal congenital abnormality"
81510,"Biochemical assay of three analytes including AFP, uE3 and hCG utilizing maternal serum for fetal congenital abnormality"
81511,"Biochemical assay of four analytes including AFP, uE3, hCG and DIA utilizing maternal serum for fetal congenital abnormality"
81512,"Biochemical assay of five analytes including AFP, uE3, total hCG, hyperglycosylated hCG and DIA utilizing maternal serum for fetal congenital abnormality"
81513,"Quantitative real-time amplification of RNA markers for Atopobium vaginae, Gardnerella vaginalis, and Lactobacillus species in vaginal fluid specimen, algorithm reported as positive or negative for bacterial vaginosis"
81514,"Quantitative real-time amplification of DNA markers for Gardnerella vaginalis, Atopobium vaginae, Megasphaera type 1, Bacterial Vaginosis Associated Bacteria-2 (BVAB-2), and Lactobacillus species (L. crispatus and L. jensenii) in vaginal fluid specimen, algorithm reported as positive or negative for high likelihood of bacterial vaginosis, with separate detection of Trichomonas vaginalis and/or Candida species (C. albicans, C. tropicalis, C. parapsilosis, C. dubliniensis), Candida glabrata, Candida krusei"
81518,"Breast cancer mRNA gene expression profiling by real-time reverse transcription and polymerase chain reaction of 11 genes (7 content and 4 housekeeping), using formalin-fixed paraffin-embedded tissue, algorithms reported as percentage risk for metastatic recurrence and likelihood of benefit from extended endocrine therapy"
81519,Breast cancer (mRNA) gene expression analysis by real-time PCR of 21 genes
81520,"Breast cancer mRNA gene expression profiling by hybrid capture of 58 genes (50 content and 8 housekeeping), using formalin-fixed paraffin-embedded tissue, algorithm reported as a recurrence risk score"
81521,Breast cancer mRNA microarray gene expression profiling of 70 content genes and 465 housekeeping genes
81522,"mRNA gene expression profiling of uveal melanoma by real-time polymerase chain reaction (RT-PCR) of 12 genes (8 content and 4 housekeeping) in formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence risk score"
81523,Onc brst mrna 70 cnt 31 gene
81525,Colon cancer (mRNA) gene expression profiling by real-time PCR of 12 genes (7 content and 5 housekeeping)
81528,"Colorectal cancer screening by quantitative real-time target and signal amplification of 10 DNA markers (KRAS mutations, promoter methylation of NDRG4 and BMP3) and fecal hemoglobin"
81529,"Cutaneous melanoma mRNA gene expression profiling by real-time polymerase chain reaction (RT-PCR) of 31 genes (28 content and 3 housekeeping), in tissue specimen, algorithm reported as recurrence risk, including likelihood of sentinel lymph node metastasis"
81535,Gynecologic live tumor cell culture and chemotherapeutic response by DAPI stain
81536,Gynecologic live tumor cell culture and chemotherapeutic response by DAPI stain
81538,Lung cancer profiling by mass spectrometric 8-protein signature including amyloid A
81539,"Biochemical assay of total PSA, free PSA, intact PSA, and human kallikrein-2 [hK2 in plasma, with prognostic algorithm reported as a probability score"
81540,Cancer (mRNA) gene expression analysis by real-time PCR of 92 genes
81541,"Prostate cancer mRNA gene expression profiling by real-time RT-PCR of 46 genes (31 content and 15 housekeeping), utilizing formalin-fixed paraffin embedded tissue, algorithm reported as a disease-specific mortality risk score"
81542,"mRNA microarray gene expression profiling of 22 content genes in formalin-fixed paraffin-embedded tissue, algorithm reported as metastasis risk score"
81545,Thyroid cancer gene expression analysis of 142 genes
81546,"mRNA gene expression analysis of 10,196 genes in fine needle aspirate thyroid specimen, algorithm reported as category (benign, suspicious, or malignant)"
81551,"Prostate cancer mRNA gene expression profiling by real-time PCR of 3 genes (GSTP1, APC, RASSF1), utilizing formalin-fixed paraffin embedded tissue, algorithm reported as a likelihood of prostate cancer detection on repeat biopsy"
81552,"mRNA gene expression profiling of uveal melanoma by real-time polymerase chain reaction (RT-PCR) of 15 genes (12 content and 3 housekeeping), in fine needle aspirate, algorithm reported as risk of metastasis"
81554,"mRNA, gene expression analysis of 190 genes associated with idiopathic pulmonary fibrosis (IPF) in transbronchial biopsy specimen, diagnostic algorithm reported as positive or negative for high probability of usual interstitial pneumonia"
81560,Trnsplj pd lvr&bwl cd154+cll
81595,Heart transplant (mRNA) gene expression profiling by real-time quantitative PCR of 20 genes
81596,"Measurement of alanine aminotransferase, A2-macroglobulin, apolipoprotein A-1, total bilirubin, gamma-glutamyl transferase, and haptoglobin in serum for assessment of chronic Hepatitis C virus infection, prognostic algorithm reported as scores for fibrosis and necroinflammatory activity in liver"
81599,Multianalyte assay with algorithmic analysis
82009,Qualitative analysis of acetone in serum
82010,Measurement of acetone in serum
82013,Measurement of red blood cell acetylcholinesterase
82016,Qualitative analysis of acylcarnitine
82017,Measurement of acylcarnitine
82024,Measurement of adrenocorticotropic hormone (ACTH)
82030,Measurement of cyclic 5-monophosphate adenosine (cyclic AMP)
82040,Measurement of albumin in plasma
82042,Measurement of albumin in amniotic fluid
82043,Measurement of microalbumin in urine
82044,Semiquantitative analysis of microalbumin in urine using reagent strip array
82045,Measurement of ischemia modified albumin
82075,Measurement of ethanol in breath
82077,Measurement of ethanol by alcohol dehydrogenase assay for ethanol in specimen other than breath or urine
82085,Measurement of aldolase
82088,Measurement of aldosterone
82103,Measurement of total alpha-1-antitrypsin
82104,Analysis of alpha-1-antitrypsin phenotype
82105,Measurement of alpha-fetoprotein (AFP) in serum
82106,Measurement of alpha-fetoprotein (AFP) in amniotic fluid
82107,Measurement of alpha fetoprotein-L3 fraction isoform and total alpha-fetoprotein with ratio
82108,Measurement of aluminum
82120,Qualitative analysis of amine in vaginal fluid
82127,Qualitative analysis of amino acid
82128,Qualitative analysis of amino acids
82131,Measurement of amino acid
82135,Measurement of delta aminolevulinic acid (ALA)
82136,Measurement of amino acids
82139,Measurement of amino acids
82140,Measurement of ammonia
82143,Amniotic fluid scan using spectrophotometric method
82150,Measurement of amylase
82154,Measurement of androstanediol glucuronide
82157,Measurement of androstenedione
82160,Measurement of androsterone
82163,Measurement of angiotensin II
82164,Measurement of angiotensin I-converting enzyme (ACE)
82172,Measurement of apolipoprotein
82175,Measurement of arsenic
82180,Measurement of ascorbic acid in blood
82190,Atomic absorption spectroscopy
82232,Measurement of beta-2 microglobulin
82239,Measurement of total bile acids
82240,Measurement of cholylglycine
82247,Measurement of total bilirubin
82248,Measurement of direct bilirubin
82252,Qualitative analysis of bilirubin in feces
82261,Measurement of biotinidase
82270,Qualitative analysis of occult blood in consecutive collected fecal specimens by peroxidase activity
82271,Qualitative analysis of occult blood by peroxidase activity
82272,Qualitative analysis of occult blood in feces by peroxidase activity
82274,Qualitative immunoassay for hemoglobin in feces
82286,Measurement of bradykinin
82300,Measurement of cadmium
82306,Measurement of vitamin D 25 hydroxy
82308,Measurement of calcitonin
82310,Measurement of total calcium
82330,Measurement of ionized calcium
82331,Measurement of calcium after calcium infusion test
82340,Measurement of calcium in timed urine specimen
82355,Qualitative chemical analysis of calculus
82360,Quantitative chemical analysis of calculus
82365,Infrared spectroscopy of calculus
82370,X-ray diffraction of calculus
82373,Measurement of carbohydrate deficient transferrin
82374,Measurement of carbon dioxide
82375,Measurement of carboxyhemoglobin
82376,Qualitative analysis of carboxyhemoglobin
82378,Measurement of carcinoembryonic antigen
82379,Measurement of free and total carnitine
82380,Measurement of carotene
82382,Measurement of total catecholamines in urine
82383,Measurement of catecholamines in blood
82384,Measurement of fractionated catecholamines
82387,Measurement of cathepsin-D
82390,Measurement of ceruloplasmin
82397,Chemiluminescent assay
82415,Measurement of chloramphenicol
82435,Measurement of chloride in blood
82436,Measurement of chloride in urine
82438,Measurement of chloride in specimen
82441,Screening for chlorinated hydrocarbon
82465,Measurement of total cholesterol in serum
82480,Measurement of cholinesterase in serum
82482,Measurement of red blood cell cholinesterase
82485,Measurement of chondroitin B sulfate
82495,Measurement of chromium
82507,Measurement of citrate
82523,Measurement of collagen cross link
82525,Measurement of copper
82528,Measurement of corticosterone
82530,Measurement of free cortisol
82533,Measurement of total cortisol
82540,Measurement of creatine
82542,Quantitative column chromatography
82550,Measurement of total creatine kinase (CK)
82552,Measurement of creatine kinase (CK) isoenzymes
82553,Measurement of creatine kinase (CK) muscle and brain (MB) fraction
82554,Measurement of creatine kinase (CK) isoforms
82565,Measurement of creatinine in blood
82570,Measurement of creatinine
82575,Creatinine clearance test
82585,Measurement of cryofibrinogen
82595,Qualitative analysis of cryoglobulin
82600,Measurement of cyanide
82607,Measurement of cyanocobalamin (vitamin B-12)
82608,Measurement of unsaturated cyanocobalamin (vitamin B-12) binding capacity
82610,Measurement of cystatin C
82615,Qualitative analysis of cystine and homocystine in urine
82626,Measurement of dehydroepiandrosterone (DHEA)
82627,Measurement of dehydroepiandrosterone-sulfate (DHEA-S)
82633,Measurement of 11-desoxycorticosterone
82634,Measurement of 11-deoxycortisol
82638,Dibucaine number test
82642,Measurement of dihydrotestosterone
82652,"Measurement of 1, 25 dihydroxy vitamin D"
82653,El-1 fecal quantitative
82656,Qualitative analysis of pancreatic elastase (EL-1) in feces
82657,Assay of enzyme activity in blood cells
82658,Assay of enzyme activity in blood cells with radioactive substrate
82664,Electrophoresis
82668,Measurement of erythropoietin
82670,Measurement of estradiol
82671,Measurement of fractionated estrogens
82672,Measurement of total estrogens
82677,Measurement of estriol
82679,Measurement of estrone
82681,Direct measurement of free estradiol
82693,Measurement of ethylene glycol
82696,Measurement of etiocholanolone
82705,Qualitative analysis of fat in feces
82710,Measurement of fat in feces
82715,Measurement of fat differential in feces
82725,Measurement of nonesterified fatty acids
82726,Measurement of very long chain fatty acids
82728,Measurement of ferritin
82731,Semi-quantitative analysis of fetal fibronectin in cervicovaginal secretion
82735,Measurement of fluoride
82746,Measurement of folic acid in serum
82747,Measurement of red blood cell folic acid
82757,Measurement of fructose in semen
82759,Measurement of red blood cell galactokinase
82760,Measurement of galactose
82775,Measurement of galactose-1-phosphate uridyl transferase
82776,Screening for galactose-1-phosphate uridyl transferase
82777,Galectin-3 measurement
82784,Measurement of immunoglobulin
82785,Measurement of immunoglobulin
82787,Measurement of immunoglobulin subclass
82800,Analysis of pH of blood
82803,Analysis of CO2 of blood
82805,Analysis of CO2 of blood
82810,Direct measurement of O2 saturation in blood
82820,Measurement of hemoglobin-oxygen affinity
82930,Gastric acid analysis
82938,Measurement of gastrin after secretin stimulation
82941,Measurement of gastrin
82943,Measurement of glucagon
82945,Measurement of glucose in body fluid
82946,Glucagon tolerance test
82947,Measurement of glucose in blood
82948,Measurement of glucose in blood using reagent strip
82950,Measurement of glucose after glucose dose
82951,Glucose tolerance test (GTT)
82952,Glucose tolerance test (GTT)
82955,Measurement of glucose-6-phosphate dehydrogenase (G6PD)
82960,Screening for glucose-6-phosphate dehydrogenase (G6PD)
82962,Measurement of blood glucose using FDA-approved home glucose monitoring device
82963,Measurement of beta glucosidase
82965,Measurement of glutamate dehydrogenase
82977,Measurement of gamma glutamyltransferase (GGT)
82978,Measurement of glutathione
82979,Measurement of red blood cell glutathione reductase
82985,Measurement of glycated protein
83001,Measurement of follicle stimulating hormone (FSH)
83002,Measurement of luteinizing hormone (LH)
83003,Measurement of human growth hormone (HGH)
83006,Growth stimulation expressed gene 2 analysis
83009,Analysis of urease activity in blood using C13 isotope for diagnosis of Helicobacter pylori
83010,Measurement of haptoglobin
83012,Haptoglobin phenotype analysis
83013,Analysis of urease activity in breath using C13 isotope for diagnosis of Helicobacter pylori
83014,Administration of isotope for analysis of urease activity for diagnosis of Helicobacter pylori
83015,Screening for heavy metal
83018,Measurement of heavy metal
83020,Fractionation and measurement of hemoglobin using electrophoresis
83021,Fractionation and measurement of hemoglobin of hemoglobin using chromatography
83026,Measurement of hemoglobin using copper sulfate method
83030,Chemical analysis of hemoglobin F
83033,Qualitative analysis of hemoglobin F (Hb F)
83036,Measurement of glycosylated hemoglobin (HbA1C)
83037,Measurement of glycosylated hemoglobin by FDA-approved home device
83045,Qualitative analysis of methemoglobin in hemoglobin
83050,Measurement of methemoglobin in hemoglobin
83051,Measurement of hemoglobin in plasma
83060,Measurement of sulfhemoglobin in hemoglobin
83065,Thermolabile hemoglobin heat denaturation test`
83068,Screening for unstable hemoglobin
83069,Analysis of hemoglobin in urine
83070,Qualitative analysis of hemosiderin
83080,Measurement of b-hexosaminidase
83088,Measurement of histamine
83090,Measurement of homocysteine
83150,Measurement of homovanillic acid (HVA)
83491,"Measurement of hydroxycorticosteroids, 17- (17-OHCS)"
83497,Measurement of 5-hydroxyindolacetic acid (HIAA)
83498,Measurement of 17-d hydroxyprogesterone
83500,Analysis of free hydroxyproline
83505,Analysis of total hydroxyproline
83516,Qualitative immunoassay using multiple step method
83518,Qualitative immunoassay using single step method
83519,Quantitative immunoassay using radioimmunoassay
83520,Quantitative immunoassay
83521,Ig light chains free each
83525,Measurement of total insulin
83527,Measurement of free insulin
83528,Measurement of intrinsic factor
83529,Asay of interleukin-6 (il-6)
83540,Measurement of iron
83550,Measurement of iron binding capacity
83570,Measurement of isocitric dehydrogenase (IDH)
83582,Fractionation of ketogenic steroids
83586,Measurement of total 17-ketosteroids
83593,Fractionation of 17-ketosteroids
83605,Measurement of lactate (lactic acid)
83615,"Measurement of lactate dehydrogenase (LD), (LDH)"
83625,"Separation and measurement of lactate dehydrogenase (LD), (LDH) isoenzymes"
83630,Qualitative analysis of lactoferrin in feces
83631,Measurement of lactoferrin in feces
83632,Measurement of human placental lactogen
83633,Qualitative analysis of lactose in urine
83655,Measurement of lead
83661,Assessment of fetal lung maturity using lecithin sphingomyelin (L/S) ratio
83662,Assessment of fetal lung maturity using foam stability test
83663,Assessment of fetal lung maturity using fluorescence polarization
83664,Assessment of fetal lung maturity using lamellar body density
83670,Measurement of leucine aminopeptidase (LAP)
83690,Measurement of lipase
83695,Measurement of lipoprotein (a)
83698,Measurement of lipoprotein-associated phospholipase A2 (Lp-PLA2)
83700,Separation and measurement of lipoprotein in blood using electrophoresis
83701,High resolution fractionation and measurement of lipoprotein in blood
83704,Measurement of lipoprotein particle numbers
83718,Direct measurement of high density cholesterol (HDL cholesterol)
83719,Direct measurement of very low density cholesterol (VLDL cholesterol)
83721,Direct measurement of low density cholesterol (LDL cholesterol)
83722,Direct measurement of small dense low densitiy lipoprotein cholesterol
83727,Measurement of luteinizing releasing factor (LRH)
83735,Measurement of magnesium
83775,Measurement of malate dehydrogenase
83785,Measurement of manganese
83789,Quantitative mass spectrometry
83825,Measurement of mercury
83835,Measurement of metanephrines
83857,Measurement of methemalbumin
83861,Microfluidic analysis of osmolarity in tears using integrated collection and analysis device
83864,Measurement of acid mucopolysaccharides
83872,Mucin coagulation test in synovial fluid
83873,Analysis of myelin basic protein in cerebrospinal fluid
83874,Measurement of myoglobin
83876,Measurement of myeloperoxidase (MPO)
83880,Measurement of natriuretic peptide
83883,Nephelometry
83885,Measurement of nickel
83915,Measurement of 5'-nucleotidase
83916,Oligoclonal band test
83918,Measurement of total organic acids
83919,Qualitative analysis of organic acids
83921,Measurement of organic acid
83930,Analysis of osmolality in blood
